city,in_cook
Little York,FALSE
Liverpool,FALSE
Livingston,FALSE
Loami,FALSE
Lockport,FALSE
London Mills,FALSE
Loda,FALSE
Lomax,FALSE
Lombard,FALSE
Long Creek,FALSE
Long Grove,FALSE
Long Lake,FALSE
Long Point,FALSE
Longview,FALSE
Loraine,FALSE
Loves Park,FALSE
Lostant,FALSE
Lost Nation,FALSE
Louisville,FALSE
Lovington,FALSE
Ludlow,FALSE
Lyndon,FALSE
Lynnville,FALSE
Lynwood,TRUE
Lyons,TRUE
Macedonia,FALSE
McClure,FALSE
McCook,TRUE
McCullom Lake,FALSE
McHenry,FALSE
McLeansboro,FALSE
Machesney Park,FALSE
Mackinaw,FALSE
McLean,FALSE
McNabb,FALSE
Maeystown,FALSE
Macomb,FALSE
Macon,FALSE
Madison,FALSE
Magnolia,FALSE
Mahomet,FALSE
Makanda,FALSE
Malden,FALSE
Malta,FALSE
Manchester,FALSE
Mansfield,FALSE
Manhattan,FALSE
Manito,FALSE
Manlius,FALSE
Manteno,FALSE
Maple Park,FALSE
Mapleton,FALSE
Maquon,FALSE
Marengo,FALSE
Marietta,FALSE
Marine,FALSE
Marion,FALSE
Marissa,FALSE
Marquette Heights,FALSE
Mark,FALSE
Maroa,FALSE
Marseilles,FALSE
Martinsville,FALSE
Matherville,FALSE
Markham,TRUE
Marshall,FALSE
Maryville,FALSE
Mascoutah,FALSE
Mason,FALSE
Matteson,TRUE
Mattoon,FALSE
Maywood,TRUE
Medora,FALSE
Martinton,FALSE
Maunie,FALSE
Mason City,FALSE
Mazon,FALSE
Mechanicsburg,FALSE
Media,FALSE
Melrose Park,TRUE
Melvin,FALSE
Mendon,FALSE
Mendota,FALSE
Metropolis,FALSE
Menominee,FALSE
Meredosia,FALSE
Merrionette Park,TRUE
Metamora,FALSE
Mettawa,FALSE
Middletown,FALSE
Midlothian,TRUE
Milan,FALSE
Coal City,FALSE
Coalton,FALSE
Coal Valley,FALSE
Coatsburg,FALSE
Cobden,FALSE
Colfax,FALSE
Coffeen,FALSE
Colchester,FALSE
Coleta,FALSE
Collinsville,FALSE
Colona,FALSE
Colp,FALSE
Columbia,FALSE
Columbus,FALSE
Como,FALSE
Cooksville,FALSE
Compton,FALSE
Concord,FALSE
Congerville,FALSE
Cordova,FALSE
Cornell,FALSE
Cornland,FALSE
Cortland,FALSE
Coulterville,FALSE
Country Club Hills,TRUE
Crab Orchard,FALSE
Countryside,TRUE
Cowden,FALSE
Coyne Center,FALSE
Crainville,FALSE
Creal Springs,FALSE
Crescent City,FALSE
Crest Hill,FALSE
Creston,FALSE
Godfrey,FALSE
Godley,FALSE
Golconda,FALSE
Golden,FALSE
Good Hope,FALSE
Golden Gate,FALSE
Golf,TRUE
Goodfield,FALSE
Goofy Ridge,FALSE
Goreville,FALSE
Gorham,FALSE
Grafton,FALSE
Grand Detour,FALSE
Grand Ridge,FALSE
Grand Tower,FALSE
Grantfork,FALSE
Grandview,FALSE
Grandwood Park,FALSE
Granite City,FALSE
Grant Park,FALSE
Greenfield,FALSE
Granville,FALSE
Grayslake,FALSE
Grayville,FALSE
Green Oaks,FALSE
Greenview,FALSE
Greenup,FALSE
Green Valley,FALSE
Greenville,FALSE
Greenwood,FALSE
Gridley,FALSE
Griggsville,FALSE
Gulf Port,FALSE
Gurnee,FALSE
Hamilton,FALSE
Hainesville,FALSE
Hamburg,FALSE
Hamel,FALSE
Hammond,FALSE
Hampshire,FALSE
Hampton,FALSE
Hanaford,FALSE
Hanna City,FALSE
Hanover,FALSE
Harrisburg,FALSE
Hanover Park,TRUE
Hardin,FALSE
Harmon,FALSE
Harrison,FALSE
Harristown,FALSE
Hartford,FALSE
Hartsburg,FALSE
Milford,FALSE
Mill Shoals,FALSE
Metcalf,FALSE
Millbrook,FALSE
Mill Creek,FALSE
Milledgeville,FALSE
Millington,FALSE
Millstadt,FALSE
Milton,FALSE
Mineral,FALSE
Minier,FALSE
Minonk,FALSE
Mokena,FALSE
Minooka,FALSE
Mitchell,FALSE
Modesto,FALSE
Moline,FALSE
Momence,FALSE
Monee,FALSE
Monticello,FALSE
Monmouth,FALSE
Monroe Center,FALSE
Montgomery,FALSE
Montrose,FALSE
Altona,FALSE
Adair,FALSE
Amboy,FALSE
Alvan,FALSE
Andover,FALSE
Anna,FALSE
Albers,FALSE
Albion,FALSE
Alsey,FALSE
Alto Pass,FALSE
Anchor,FALSE
Algonquin,FALSE
Allendale,FALSE
Allenville,FALSE
Andalusia,FALSE
Annapolis,FALSE
Annawan,FALSE
Antioch,FALSE
Argenta,FALSE
Apple Canyon Lake,FALSE
Apple River,FALSE
Arcola,FALSE
Arrowsmith,FALSE
Arenzville,FALSE
Arlington,FALSE
Arlington Heights,TRUE
Armington,FALSE
Aroma Park,FALSE
Ashley,FALSE
Arthur,FALSE
Ashkum,FALSE
Ashland,FALSE
Ashmore,FALSE
Ashton,FALSE
Assumption,FALSE
Astoria,FALSE
Athens,FALSE
Atkinson,FALSE
Augusta,FALSE
Atlanta,FALSE
Atwood,FALSE
Auburn,FALSE
Aurora,FALSE
Ava,FALSE
Aviston,FALSE
Avon,FALSE
Baldwin,FALSE
Banner,FALSE
Barrington Hills,TRUE
Bannockburn,FALSE
Crestwood,TRUE
Crystal Lake,FALSE
Crete,FALSE
Creve Coeur,FALSE
Crossville,FALSE
Crystal Lawns,FALSE
Cuba,FALSE
Cullom,FALSE
Curran,FALSE
Cutler,FALSE
Cypress,FALSE
Dalton City,FALSE
Dahlgren,FALSE
Dakota,FALSE
Dallas City,FALSE
Dalzell,FALSE
Damiansville,FALSE
Dana,FALSE
Danforth,FALSE
Danvers,FALSE
Danville,FALSE
Spillertown,FALSE
Spring Bay,FALSE
Springerton,FALSE
Spring Valley,FALSE
Darien,FALSE
Darmstadt,FALSE
Davis,FALSE
Springfield,FALSE
Spring Grove,FALSE
Standard,FALSE
Standard City,FALSE
Stanford,FALSE
Staunton,FALSE
Steeleville,FALSE
Steger,TRUE
Sterling,FALSE
Stillman Valley,FALSE
Steward,FALSE
Stewardson,FALSE
Stickney,TRUE
Stockton,FALSE
Stonefort,FALSE
Stone Park,TRUE
Stonington,FALSE
Stoy,FALSE
Strasburg,FALSE
Stronghurst,FALSE
Strawn,FALSE
Streamwood,TRUE
Streator,FALSE
Sublette,FALSE
Sugar Grove,FALSE
Sullivan,FALSE
Summerfield,FALSE
Summit,TRUE
Sumner,FALSE
