zip,subcook
60002,FALSE
60004,TRUE
60005,TRUE
60007,TRUE
60008,TRUE
60010,TRUE
60012,FALSE
60013,FALSE
60014,FALSE
60015,FALSE
60016,TRUE
60018,TRUE
60020,FALSE
60021,FALSE
60022,TRUE
60025,TRUE
60026,TRUE
60029,TRUE
60030,FALSE
60031,FALSE
60033,FALSE
60034,FALSE
60035,FALSE
60040,FALSE
60041,FALSE
60042,FALSE
60043,TRUE
60044,FALSE
60045,FALSE
60046,FALSE
60047,FALSE
60048,FALSE
60050,FALSE
60051,FALSE
60053,TRUE
60056,TRUE
60060,FALSE
60061,FALSE
60062,TRUE
60064,FALSE
60067,TRUE
60068,TRUE
60069,FALSE
60070,TRUE
60071,FALSE
60072,FALSE
60073,FALSE
60074,TRUE
60076,FALSE
60077,FALSE
60081,FALSE
60083,FALSE
60084,FALSE
60085,FALSE
60087,FALSE
60088,FALSE
60089,FALSE
60090,TRUE
60091,TRUE
60093,TRUE
60096,FALSE
60097,FALSE
60098,FALSE
60099,FALSE
60101,FALSE
60102,FALSE
60103,FALSE
60104,TRUE
60106,FALSE
60107,TRUE
60108,FALSE
60109,FALSE
60110,FALSE
60111,FALSE
60112,FALSE
60113,FALSE
60115,FALSE
60118,FALSE
60119,FALSE
60120,TRUE
60123,FALSE
60124,FALSE
60126,FALSE
60129,FALSE
60130,TRUE
60131,TRUE
60133,FALSE
60134,FALSE
60135,FALSE
60136,FALSE
60137,FALSE
60139,FALSE
60140,FALSE
60141,TRUE
60142,FALSE
60143,FALSE
60144,FALSE
60145,FALSE
60146,FALSE
60148,FALSE
60150,FALSE
60151,FALSE
60152,FALSE
60153,TRUE
60154,TRUE
60155,TRUE
60156,FALSE
60157,FALSE
60160,TRUE
60162,TRUE
60163,TRUE
60164,TRUE
60165,TRUE
60169,TRUE
60171,TRUE
60172,FALSE
60173,TRUE
60174,FALSE
60175,FALSE
60176,TRUE
60177,FALSE
60178,FALSE
60180,FALSE
60181,FALSE
60184,FALSE
60185,FALSE
60187,FALSE
60188,FALSE
60189,FALSE
60190,FALSE
60191,FALSE
60192,TRUE
60193,TRUE
60194,TRUE
60195,TRUE
60201,FALSE
60202,FALSE
60203,FALSE
60301,FALSE
60302,FALSE
60304,FALSE
60305,TRUE
60401,FALSE
60402,TRUE
60403,FALSE
60404,FALSE
60406,TRUE
60407,FALSE
60408,FALSE
60409,TRUE
60410,FALSE
60411,TRUE
60415,TRUE
60416,FALSE
60417,FALSE
60419,TRUE
60420,FALSE
60421,FALSE
60422,TRUE
60423,FALSE
60424,FALSE
60425,TRUE
60426,TRUE
60428,TRUE
60429,TRUE
60430,TRUE
60431,FALSE
60432,FALSE
60433,FALSE
60435,FALSE
60436,FALSE
60437,FALSE
60438,TRUE
60439,TRUE
60440,FALSE
60441,FALSE
60442,FALSE
60443,TRUE
60444,FALSE
60445,TRUE
60446,FALSE
60447,FALSE
60448,FALSE
60449,FALSE
60450,FALSE
60451,FALSE
60452,TRUE
60453,TRUE
60455,TRUE
60456,TRUE
60457,TRUE
60458,TRUE
60459,FALSE
60460,FALSE
60461,TRUE
60462,TRUE
60463,TRUE
60464,TRUE
60465,TRUE
60466,TRUE
60467,TRUE
60468,FALSE
60469,TRUE
60470,FALSE
60471,TRUE
60472,TRUE
60473,TRUE
60474,FALSE
60475,TRUE
60476,TRUE
60477,TRUE
60478,TRUE
60479,FALSE
60480,TRUE
60481,FALSE
60482,TRUE
60484,FALSE
60487,TRUE
60490,FALSE
60491,FALSE
60501,TRUE
60502,FALSE
60503,FALSE
60504,FALSE
60505,FALSE
60506,FALSE
60510,FALSE
60511,FALSE
60512,FALSE
60513,TRUE
60514,FALSE
60515,FALSE
60516,FALSE
60517,FALSE
60518,FALSE
60519,FALSE
60520,FALSE
60521,FALSE
60523,FALSE
60525,TRUE
60526,TRUE
60527,FALSE
60530,FALSE
60531,FALSE
60532,FALSE
60534,TRUE
60536,FALSE
60537,FALSE
60538,FALSE
60539,FALSE
60540,FALSE
60541,FALSE
60542,FALSE
60543,FALSE
60544,FALSE
60545,FALSE
60546,TRUE
60548,FALSE
60549,FALSE
60550,FALSE
60551,FALSE
60552,FALSE
60553,FALSE
60554,FALSE
60555,FALSE
60556,FALSE
60557,FALSE
60558,TRUE
60559,FALSE
60560,FALSE
60561,FALSE
60563,FALSE
60564,FALSE
60565,FALSE
60585,FALSE
60586,FALSE
60601,FALSE
60602,FALSE
60603,FALSE
60604,FALSE
60605,FALSE
60606,FALSE
60607,FALSE
60608,FALSE
60609,FALSE
60610,FALSE
60611,FALSE
60612,FALSE
60613,FALSE
60614,FALSE
60615,FALSE
60616,FALSE
60617,FALSE
60618,FALSE
60619,FALSE
60620,FALSE
60621,FALSE
60622,FALSE
60623,FALSE
60624,FALSE
60625,FALSE
60626,FALSE
60628,FALSE
60629,FALSE
60630,FALSE
60631,FALSE
60632,FALSE
60633,FALSE
60634,FALSE
60636,FALSE
60637,FALSE
60638,FALSE
60639,FALSE
60640,FALSE
60641,FALSE
60642,FALSE
60643,FALSE
60644,FALSE
60645,FALSE
60646,FALSE
60647,FALSE
60649,FALSE
60651,FALSE
60652,FALSE
60653,FALSE
60654,FALSE
60655,FALSE
60656,FALSE
60657,FALSE
60659,FALSE
60660,FALSE
60661,FALSE
60706,TRUE
60707,TRUE
60712,TRUE
60714,TRUE
60803,TRUE
60804,TRUE
60805,TRUE
60827,TRUE
60901,FALSE
60910,FALSE
60911,FALSE
60912,FALSE
60913,FALSE
60914,FALSE
60915,FALSE
60917,FALSE
60918,FALSE
60919,FALSE
60920,FALSE
60921,FALSE
60922,FALSE
60924,FALSE
60926,FALSE
60927,FALSE
60928,FALSE
60929,FALSE
60930,FALSE
60931,FALSE
60932,FALSE
60933,FALSE
60934,FALSE
60935,FALSE
60936,FALSE
60938,FALSE
60940,FALSE
60941,FALSE
60942,FALSE
60945,FALSE
60946,FALSE
60948,FALSE
60949,FALSE
60950,FALSE
60951,FALSE
60952,FALSE
60953,FALSE
60954,FALSE
60955,FALSE
60957,FALSE
60958,FALSE
60959,FALSE
60960,FALSE
60961,FALSE
60962,FALSE
60963,FALSE
60964,FALSE
60966,FALSE
60968,FALSE
60969,FALSE
60970,FALSE
60973,FALSE
60974,FALSE
61001,FALSE
61006,FALSE
61007,FALSE
61008,FALSE
61010,FALSE
61011,FALSE
61012,FALSE
61013,FALSE
61014,FALSE
61015,FALSE
61016,FALSE
61018,FALSE
61019,FALSE
61020,FALSE
61021,FALSE
61024,FALSE
61025,FALSE
61027,FALSE
61028,FALSE
61030,FALSE
61031,FALSE
61032,FALSE
61036,FALSE
61037,FALSE
61038,FALSE
61039,FALSE
61041,FALSE
61042,FALSE
61043,FALSE
61044,FALSE
61046,FALSE
61047,FALSE
61048,FALSE
61049,FALSE
61050,FALSE
61051,FALSE
61052,FALSE
61053,FALSE
61054,FALSE
61057,FALSE
61059,FALSE
61060,FALSE
61061,FALSE
61062,FALSE
61063,FALSE
61064,FALSE
61065,FALSE
61067,FALSE
61068,FALSE
61070,FALSE
61071,FALSE
61072,FALSE
61073,FALSE
61074,FALSE
61075,FALSE
61077,FALSE
61078,FALSE
61079,FALSE
61080,FALSE
61081,FALSE
61084,FALSE
61085,FALSE
61087,FALSE
61088,FALSE
61089,FALSE
61091,FALSE
61101,FALSE
61102,FALSE
61103,FALSE
61104,FALSE
61107,FALSE
61108,FALSE
61109,FALSE
61111,FALSE
61112,FALSE
61114,FALSE
61115,FALSE
61201,FALSE
61230,FALSE
61231,FALSE
61232,FALSE
61234,FALSE
61235,FALSE
61236,FALSE
61238,FALSE
61239,FALSE
61240,FALSE
61241,FALSE
61242,FALSE
61243,FALSE
61244,FALSE
61250,FALSE
61251,FALSE
61252,FALSE
61254,FALSE
61256,FALSE
61257,FALSE
61258,FALSE
61259,FALSE
61260,FALSE
61261,FALSE
61262,FALSE
61263,FALSE
61264,FALSE
61265,FALSE
61270,FALSE
61272,FALSE
61273,FALSE
61274,FALSE
61275,FALSE
61276,FALSE
61277,FALSE
61278,FALSE
61279,FALSE
61281,FALSE
61282,FALSE
61283,FALSE
61284,FALSE
61285,FALSE
61301,FALSE
61310,FALSE
61311,FALSE
61312,FALSE
61313,FALSE
61314,FALSE
61315,FALSE
61316,FALSE
61317,FALSE
61318,FALSE
61319,FALSE
61320,FALSE
61321,FALSE
61322,FALSE
61323,FALSE
61324,FALSE
61325,FALSE
61326,FALSE
61327,FALSE
61328,FALSE
61329,FALSE
61330,FALSE
61331,FALSE
61332,FALSE
61333,FALSE
61334,FALSE
61335,FALSE
61336,FALSE
61337,FALSE
61338,FALSE
61340,FALSE
61341,FALSE
61342,FALSE
61344,FALSE
61345,FALSE
61346,FALSE
61348,FALSE
61349,FALSE
61350,FALSE
61353,FALSE
61354,FALSE
61356,FALSE
61358,FALSE
61359,FALSE
61360,FALSE
61361,FALSE
61362,FALSE
61363,FALSE
61364,FALSE
61367,FALSE
61368,FALSE
61369,FALSE
61370,FALSE
61372,FALSE
61373,FALSE
61374,FALSE
61375,FALSE
61376,FALSE
61377,FALSE
61378,FALSE
61379,FALSE
61401,FALSE
61410,FALSE
61411,FALSE
61412,FALSE
61413,FALSE
61414,FALSE
61415,FALSE
61416,FALSE
61417,FALSE
61418,FALSE
61419,FALSE
61420,FALSE
61421,FALSE
61422,FALSE
61423,FALSE
61424,FALSE
61425,FALSE
61426,FALSE
61427,FALSE
61428,FALSE
61430,FALSE
61431,FALSE
61432,FALSE
61433,FALSE
61434,FALSE
61435,FALSE
61436,FALSE
61437,FALSE
61438,FALSE
61439,FALSE
61440,FALSE
61441,FALSE
61442,FALSE
61443,FALSE
61447,FALSE
61448,FALSE
61449,FALSE
61450,FALSE
61451,FALSE
61452,FALSE
61453,FALSE
61454,FALSE
61455,FALSE
61458,FALSE
61459,FALSE
61460,FALSE
61462,FALSE
61465,FALSE
61466,FALSE
61467,FALSE
61468,FALSE
61469,FALSE
61470,FALSE
61471,FALSE
61472,FALSE
61473,FALSE
61474,FALSE
61475,FALSE
61476,FALSE
61477,FALSE
61478,FALSE
61479,FALSE
61480,FALSE
61482,FALSE
61483,FALSE
61484,FALSE
61485,FALSE
61486,FALSE
61488,FALSE
61489,FALSE
61490,FALSE
61491,FALSE
61501,FALSE
61516,FALSE
61517,FALSE
61519,FALSE
61520,FALSE
61523,FALSE
61524,FALSE
61525,FALSE
61526,FALSE
61528,FALSE
61529,FALSE
61530,FALSE
61531,FALSE
61532,FALSE
61533,FALSE
61534,FALSE
61535,FALSE
61536,FALSE
61537,FALSE
61539,FALSE
61540,FALSE
61541,FALSE
61542,FALSE
61543,FALSE
61544,FALSE
61545,FALSE
61546,FALSE
61547,FALSE
61548,FALSE
61550,FALSE
61552,FALSE
61553,FALSE
61554,FALSE
61559,FALSE
61560,FALSE
61561,FALSE
61562,FALSE
61563,FALSE
61564,FALSE
61565,FALSE
61567,FALSE
61568,FALSE
61569,FALSE
61570,FALSE
61571,FALSE
61572,FALSE
61602,FALSE
61603,FALSE
61604,FALSE
61605,FALSE
61606,FALSE
61607,FALSE
61610,FALSE
61611,FALSE
61614,FALSE
61615,FALSE
61616,FALSE
61625,FALSE
61701,FALSE
61704,FALSE
61705,FALSE
61720,FALSE
61721,FALSE
61722,FALSE
61723,FALSE
61724,FALSE
61725,FALSE
61726,FALSE
61727,FALSE
61728,FALSE
61729,FALSE
61730,FALSE
61731,FALSE
61732,FALSE
61733,FALSE
61734,FALSE
61735,FALSE
61736,FALSE
61737,FALSE
61738,FALSE
61739,FALSE
61740,FALSE
61741,FALSE
61742,FALSE
61743,FALSE
61744,FALSE
61745,FALSE
61747,FALSE
61748,FALSE
61749,FALSE
61750,FALSE
61751,FALSE
61752,FALSE
61753,FALSE
61754,FALSE
61755,FALSE
